AGYTYP,AGYTYPT,AGY,AGYT,AGYSUB,AGYSUBT,agy_typ,agy_typ2
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2D,AF2D-AIR FORCE PERSONNEL OPERATIONS AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2E,AF2E-AIR FORCE LEGAL SERVICES CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2F,AF2F-AIR FORCE MEDICAL SERVICES CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2G,AF2G-AIR FORCE SERVICE INFORMATION AND NEWS CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2H,AF2H-AIR FORCE COMBAT OPERATIONS STAFF,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2I,AF2I-AIR NATIONAL GUARD SUPPORT CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2K,AF2K-U.S. AIR FORCE HISTORICAL RESEARCH CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2M,AF2M-AIR FORCE REVIEW BOARDS OFFICE,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2N,AF2N-AIR FORCE CENTER FOR STUDIES AND ANALYSES,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Q,AF2Q-AIR WEATHER SERVICE,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2R,AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2S,AF2S-HQ NORAD,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2T,AF2T-AIR FORCE SUPPLY CENTER,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2U,"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2V,AF2V-AIR FORCE DISPOSAL AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2W,AF2W-AIR FORCE DISTRICT OF WASHINGTON,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2X,AF2X-AIR FORCE REAL ESTATE AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Y,AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Z,AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF34,AF34-AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5),Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3C,"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3D,"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3G,"AF3G-AIR FORCE ELEMENTS, EUROPE",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3L,AF3L-CENTER FOR AIR FORCE HISTORY,Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3Q,"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3S,"AF3S-HEADQUARTERS, U.S. SPACE COMMAND AND NORAD",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3T,"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3V,"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3W,AF3W-AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE,Defense,Nature and Resources
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3Z,"AF3Z-JOINT SERVICES SURVIVAL, EVASION, RESISTANCE AND ESCAPE AGENCY",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFNG,AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFZG,"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",Defense,Defense
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFZS,AFZS-U.S. SPECIAL OPERATIONS COMMAND (AIR FORCE),Defense,Defense
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG**,AG**-UNSPECIFIED,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG01,AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG02,AG02-AGRICULTURAL MARKETING SERVICE,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG03,AG03-AGRICULTURAL RESEARCH SERVICE,Nature and Resources,"Research, Arts, and Sciences"
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG07,AG07-RURAL HOUSING SERVICE,Nature and Resources,Health and Social Welfare
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG08,AG08-RISK MANAGEMENT AGENCY,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG10,AG10-FOREIGN AGRICULTURAL SERVICE,Nature and Resources,Foreign Affairs
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG11,AG11-FOREST SERVICE,Nature and Resources,Nature and Resources
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG13,AG13-OFFICE OF COMMUNICATIONS,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG14,AG14-OFFICE OF THE GENERAL COUNSEL,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG15,AG15-RURAL UTILITIES SERVICE,Nature and Resources,Health and Social Welfare
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG16,AG16-NATURAL RESOURCES CONSERVATION SERVICE,Nature and Resources,Nature and Resources
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG18,AG18-ECONOMIC RESEARCH SERVICE,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG20,AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG22,"AG22-COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",Nature and Resources,"Research, Arts, and Sciences"
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG23,AG23-OFFICE OF THE INSPECTOR GENERAL,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG30,AG30-FOOD AND NUTRITION SERVICE,Nature and Resources,Health and Social Welfare
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG32,AG32-RURAL BUSINESS-COOPERATIVE SERVICE,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG34,AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,Nature and Resources,Health and Social Welfare
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG36,"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",Nature and Resources,Health and Social Welfare
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG37,AG37-FOOD SAFETY AND INSPECTION SERVICE,Nature and Resources,Health and Social Welfare
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG38,AG38-OFFICE OF THE CHIEF ECONOMIST,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG42,AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG90,AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG92,AG92-OFFICE OF THE ADMINISTRATIVE LAW JUDGE,Nature and Resources,Crime and Law
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG98,AG98-OFFICE OF OPERATIONS,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGAW,AGAW-ALTERNATIVE AGRICULTURAL RESEARCH AND COMMERCIALIZATION CENTER,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGCA,AGCA-BOARD OF CONTRACT APPEALS,Nature and Resources,Crime and Law
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGDB,AGDB-OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION,Nature and Resources,Commerce and Information
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGDM,AGDM-DEPARTMENTAL ADMINISTRATION MANAGEMENT SERVICES STAFF,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGES,AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGFA,AGFA-FARM SERVICE AGENCY,Nature and Resources,Nature and Resources
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGIT,AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGNA,AGNA-NATIONAL APPEALS DIVISION,Nature and Resources,Crime and Law
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGPA,"AGPA-POLICY, ANALYSIS, AND COORDINATION CENTER",Nature and Resources,Management and Administration
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAE,ARAE-ACQUISITION EXECUTIVE SUPPORT AGENCY,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAS,ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAU,ARAU-U.S. ARMY AUDIT AGENCY,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCB,ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCE,ARCE-U.S. ARMY CORPS OF ENGINEERS,Defense,Nature and Resources
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCS,ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,Defense,Management and Administration
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCZ,ARCZ-U.S. ARMY INFORMATION SYSTEMS COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE1,ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,Defense,Management and Administration
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE2,ARE2-21ST THEATER ARMY AREA COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE3,ARE3-U.S. ARMY SOUTHERN EURPOEAN TASK FORCE,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE5,ARE5-U.S. ARMY V CORPS,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AREB,AREB-1ST PERSONNEL COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARED,"ARED-U.S. MILITARY COMMUNITY ACTIVITY, HEIDELBERG",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AREN,AREN-SEVENTH ARMY TRAINING COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARFC,ARFC-U.S. ARMY FORCES COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARGB,ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARHR,ARHR-U.S. ARMY RESERVE COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARHS,ARHS-U.S. ARMY HEALTH SERVICES COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARJ1,ARJ1-U.S. ARMY ELEMENT SHAPE,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARJA,ARJA-JOINT ACTIVITIES,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMA,ARMA-U.S. MILITARY ACADEMY,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMC,ARMC-U.S. ARMY MEDICAL COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMP,ARMP-U.S. TOTAL ARMY PERSONNEL COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMT,ARMT-MILITARY TRAFFIC MANAGEMENT COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMW,ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARNG,ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARP1,"ARP1-U.S. ARMY, PACIFIC",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARP8,ARP8-EIGHTH U.S. ARMY,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARPC,ARPC-MILITARY ENTRANCE PROCESSING COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARRC,ARRC-U.S. ARMY RECRUITING COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSA,ARSA-OFFICE OF THE SECRETARY OF THE ARMY,Defense,Management and Administration
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSB,ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSC,ARSC-U.S. ARMY SPACE AND STRATEGIC DEFENSE COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSE,ARSE-FIELD OPERATING AGENCIES OF THE ARMY STAFF RESOURCED THROUGH OA-22,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSF,ARSF-FIELD OPERATING AGENCIES OF THE ARMY STAFF,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSJ,"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",Defense,Management and Administration
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSP,ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSS,"ARSS-STAFF SUPPORT AGENCIES OF THE CHIEF OF STAFF, ARMY",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSU,ARSU-U.S. ARMY SOUTHERN COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARTC,ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX2,"ARX2-HEADQUARTERS, AMC",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX3,"ARX3-HEADQUARTERS, STAFF SUPPORT ACTIVITIES, AMC",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX4,"ARX4-TRAINING ACTIVITIES, AMC",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX5,"ARX5-U.S. ARMY MATERIEL COMMAND, ALL OTHERS",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX6,ARX6-U.S. ARMY MISSILE COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX7,ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX8,ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX9,"ARX9-U.S. ARMY SIMULATION, TRAINING AND INSTRUMENTATION COMMAND",Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXA,ARXA-U.S. ARMY CHEMICAL AND BIOLOGICAL DEFENSE COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXB,ARXB-U.S. ARMY AVIATION AND TROOP COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXC,ARXC-U.S. ARMY SUSTAINMENT COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXD,ARXD-U.S. ARMY RESEARCH LABORATORY COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXK,ARXK-MATERIEL ACQUISITION ACTIVITIES,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXL,ARXL-MATERIEL ACQUISITION PROJECT MANAGERS,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXM,ARXM-U.S. ARMY TEST AND EVALUATION COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXP,ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXQ,ARXQ-U.S. ARMY INDUSTRIAL OPERATIONS COMMAND (IOC),Defense,Defense
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXX,ARXX-MATERIEL READINESS ACTIVITIES,Defense,Defense
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM33,CM33-TECHNOLOGY ADMINISTRATION,Commerce and Information,Commerce and Information
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM51,CM51-OFFICE OF THE SECRETARY,Commerce and Information,Management and Administration
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM52,CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,Commerce and Information,Commerce and Information
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM53,CM53-BUREAU OF ECONOMIC ANALYSIS,Commerce and Information,Commerce and Information
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM54,CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Commerce and Information,Nature and Resources
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM55,CM55-INTERNATIONAL TRADE ADMINISTRATION,Commerce and Information,Commerce and Information
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM56,CM56-PATENT AND TRADEMARK OFFICE,Commerce and Information,Commerce and Information
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM57,CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Commerce and Information,"Research, Arts, and Sciences"
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM59,CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,Commerce and Information,Health and Social Welfare
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM61,CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,Commerce and Information,Commerce and Information
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM62,CM62-NATIONAL TECHNICAL INFORMATION SERVICE,Commerce and Information,"Research, Arts, and Sciences"
